128|colesmcintosh|14172.5|16|Dallas|TX
129|MuyeedAhmed|13995|16|Newark|NJ
130|csmith49|13966|17|Louisville|CO
131|ColinHarker|13806|3|San Francisco|CA
132|chrstnb|13792|11|New York City|NY
133|AlexsanderHamir|13762|7||California
134|Jonahcb|13749|7|Ithaca|NY
135|RafaelCenzano|13608|30|New York City|NY
136|aayush3011|13489.5|25|Seattle|WA
137|AliHaider20|13227|47|New York City|NY
138|ashubham|13191.5|12|San Francisco|CA
139|Erika2500|13091|3|Seattle|WA
140|Glebuar|12957|8|San Francisco|CA
141|colinmcnamara|12863|34|Austin|TX
142|abhisheknair10|12815.5|6||New York
143|Taxolotl|12780|24||Indiana
144|AEmotionStudio|12494.5|13||California
145|bermed28|12375|4|Seattle|WA
146|clickonetwo|12226|28|San Francisco|CA
147|SwapnilDreams100|12223|9|San Francisco|CA
148|Lawhy|12144|17|San Jose|CA
149|ctrly4sh|12068|24|Beckley|WV
150|0xSero|11982.5|7||
151|DarrelDonald|11977|31|Lynnwood|WA
152|ctrlaltaf|11910|28|Boulder|CO
153|chang-l|11775|15|San Jose|CA
154|ChristianAnagnostou|11740|28|San Francisco|CA
155|JustinBeckwith|11442|6|Seattle|WA
156|allenhutchison|11423.5|17|San Jose|CA
157|ctrlShiftBryan|11325.5|44|Columbus|OH
158|DigitalHerencia|11275|4|Los Lunas|NM
159|NicholasBottone|11218|4||New York
160|Skquark|11132.5|36|Los Angeles|CA
161|bingyizh233|11112|10|San Francisco|CA
162|aagnone3|10996|21|Atlanta|GA
163|JoshMock|10990.5|11|Nashville|TN
164|Muennighoff|10976|46|San Jose|CA
165|christiananagnostou|10944|29|San Francisco|CA
166|JT2M0L3Y|10785|22|Seattle|WA
167|Cstannahill|10739.5|5||Illinois
168|abmfy|10567|19|San Francisco|CA
169|ben-vargas|10494.5|12||
170|cswkim|10424|12|New York City|NY
171|WorldExplored|10239|10||Indiana
172|BeibinLi|10059|21|Redmond|WA
173|FrankD412|9987|16|San Francisco|CA
174|JonnyKong|9976|13|San Jose|CA
175|Cam10001110101|9912.5|17|Austin|TX
176|LucianoCirino|9909.5|13||Texas
177|PhilipQuirke|9903|11|San Francisco|CA
178|WindChimeRan|9873|17||
179|coolkp|9759|13|Seattle|WA
180|Aniruddh25|9562|8|Redmond|WA
181|FrozenWolf-Cyber|9523|6|San Diego|CA
