153|lezcano|188900|22||||
154|bowenliang123|188485.5|30|Guangzhou|30|China|CN
155|IlyasMoutawwakil|187444|48|Paris|11|France|FR
156|MengqingCao|185274|27||||
157|xingyaoww|184299.5|40||||
158|lamia-haider|180144.5|11||||
159|Jeffwan|179608|33|Seattle|WA|United States|US
160|cosmo-admin|178846.5|38||||
161|BBuf|178534|40|Chengdu|32|China|CN
162|heesookiim|178142.5|3||||
163|zxhlyh|177903|35||||
164|fxmarty|177565|30||||
165|anakin87|176373|50|||Italy|IT
166|brian-dellabetta|175804|16|Chicago|IL|United States|US
167|sydney-runkle|174804|18||||
168|tf-vcs-testing-staging|174165|20||||
169|geoand|172683.5|30||||
170|3whisper51nomad|172320|2||||
171|tf-vcs-testing|171900|21||||
172|JohnJyong|170823.5|35|Suzhou|04|China|CN
173|xuechendi|170180|24||||
174|agourlay|169231|52|Berlin|16|Germany|DE
175|gshtras|169155|26||||
176|WitherRbx|168770|6||||
177|noooop|168030|24||||
178|Omochice|167521|63|||Japan|JP
179|mendonk|166310|23||||
180|martin-nhs|165160|15||||
181|slin1237|164276|22||||
182|Mogball|163405|17||||
183|stas00|163136|61||||
184|maaksystemsllc|162669|3||||
185|patil-suraj|161121|44||||
186|tjtanaa|157928.5|30||||
187|kashif|157422|54||||
188|opencm|156835|42||||
189|russellb|156783|20||||
190|danieldk|156403|50||||
191|ltdrdata|155991|37||||
192|varun-sundar-rabindranath|154695|26||||
193|christian-byrne|154442.5|24|San Francisco|CA|United States|US
194|michaeldrennen|154205|58||||
195|kzawora-intel|153390|26||||
196|tensorrt-cicd|152757|13||||
197|jikunshang|151746|31||||
198|khluu|151395|23||||
199|merveenoyan|151373|56||||
200|cbornet|150035.5|31|Bordeaux|75|France|FR
201|dirkbrnd|149087.5|15||||
202|Kludex|148759.5|17|Utrecht|09|Netherlands|NL
203|NickLucche|148282|36||||
204|Vorbert-Kruk|145852|35||||
205|wjones127|145481|35||||
206|rkooo567|144795|16||||
207|leon-good-life|144210.5|25||||
208|shaneholloman|143823|34||||
209|marklysze|143760.5|18||||
210|alexmolev|143668|51||||
211|Ying1123|143424.5|32||||
212|typpo|143053|38||||
213|mxyng|142492|33||||
214|dahlia|141908.5|29||||
215|ngxson|141207|29||||
216|devpow112|141039.5|52||||
217|luisprmat|140260|63||||
218|kesslerio|139357.5|12||||
219|joaomdmoura|137052|30||||
220|Anthony166-cmyk|136885|8||||
221|pacman100|136708.5|39||||
222|gari01234|136300|9||||
223|kumaranvpl|135800|5||||
224|DN6|135777|40||||
225|czs007|133553|60||||
226|nsarrazin|132622.5|30||||
227|michaelbenayoun|132401|60||||
228|dax-westerman|131348|20||||
229|philschmid|131139|60||||
230|renovate-bot|130852|34||||
231|dacorvo|130839|34||||
232|a-r-r-o-w|130598.5|33||||
233|sanchit-gandhi|129526|33||||
234|dliubarskyi|128461|15||||
235|AUTOMATIC1111|128190|26||||
236|Yard1|127982|27||||
237|enter-ctrl9|127610|1||||
238|CatherineSue|127204|24|Los Angeles|CA|United States|US
239|yewentao256|127058|12||||
240|adityachoudhari26|126716|21|San Francisco|CA|United States|US
241|prashantgupta24|126671|23||||
242|shanghaikid|126644.5|63||||
243|Stanley00|126320|23||||
244|alishercodecrafter|125970|5||||
245|scala-steward|125550|62||||
246|dhiltgen|125490.5|30||||
247|andreibondarev|125090|33|Camden|NJ|United States|US
248|kiryu-3|124075|16||||
249|XuanYang-cn|123084.5|61|Shanghai|23|China|CN
250|heheda12345|122990|19||||
251|jakubno|122582.5|35||||
252|jordanrfrazier|122514|26||||
253|Potabk|122439|16||||
254|JadenFiotto-Kaufman|122405|30|Boston|MA|United States|US
255|marcusschiesser|122358.5|31||||
256|ShangmingCai|122357|23||||
257|andrewthetechie|121940|45||||
258|kurtseifried|121640|14||||
259|ahmadiesa-abu|121460.5|40||||
260|himself65|121458.5|24||||
261|bnellnm|120990|27||||
262|NorbertAmartus|120620.5|10||||
263|ekzhu|120513|30||||
264|appseed-projects3|120071|24|Constanţa|14|Romania|RO
265|afeldman-nm|119877|22||||
266|paul-gauthier|118993.5|36||||
267|prmanna|118315|56||||
268|rsfunc|118219.5|17||||
269|JingyaHuang|118092|54|Paris|11|France|FR
270|ispobock|118078|26||||
271|clefourrier|118015|45|||France|FR
272|sfc-gh-mhidayetoglu|117705|11||||
273|PatrycjaKubiczek|117225.5|17|Kraków|77|Poland|PL
274|aymeric-roucher|116921|26|Paris|11|France|FR
275|tsmith023|116453|36||||
276|guoqingbao|115263|26||||
277|samuelecancellieri|114500|43||||
278|jjmachan|114292|56||||
279|maxdebayser|114079|26||||
280|Nelynehemia|114061.5|33|||Israel|IL
281|bigsheeper|113873|60|||China - Hangzhou|
282|JustinTong0323|113502.5|15|Edinburgh|SCT|United Kingdom|GB
283|Cyrilvallez|113039|26|Lausanne|VD|Switzerland|CH
284|bartoszkosciug|112896|27||||
285|coyotte508|112608.5|46||||
286|NanoCode012|112607|39||||
287|mickdarling|112531|15||||
288|erichare|112414.5|29||||
289|italojohnny|112336|17||||
290|vblagoje|112205.5|58||||
291|EajksEajks|111953|14|Caen|28|France|FR
292|davidmigloz|110862|41||||
293|emrgnt-cmplxty|110752.5|22||||
294|zRzRzRzRzRzRzR|110655|33||||
295|modificarop111|110477.5|3||||
296|jenningsloy318|110430.5|39||||
297|ZanSara|110378|34||||
298|YashdalfTheGray|110217.5|57||||
299|calclavia|109997.5|31||||
300|hjlarry|109805.5|24||||
301|learn-co-students|109111.5|3||||
302|rlancemartin|108982.5|31||||
303|ashpreetbedi|108901.5|49|New York City|NY|United States|US
304|pyup-bot|108588|52||||
305|ashwinb|108583|14||||
